msa_file,best_model,source
dna_M6414_209_2000.phy,TPM3u+F+I+R4,dna_M6414_209_2000.phy/output_files/iqtree/inference/rand.iqtree
dna_M6625_247_1812.phy,TIM2+F+I+R4,dna_M6625_247_1812.phy/output_files/iqtree/inference/rand.iqtree
dna_M667_218_1002.phy,K3Pu+F+ASC+R5,dna_M667_218_1002.phy/output_files/iqtree/inference/rand.iqtree
dna_M7024_767_5814.phy,GTR+F+I+R10,dna_M7024_767_5814.phy/output_files/iqtree/inference/rand.iqtree
dna_M7054_222_6237.phy,GTR+F+I+R4,dna_M7054_222_6237.phy/output_files/iqtree/inference/rand.iqtree
dna_M7165_357_4475.phy,GTR+F+I+R6,dna_M7165_357_4475.phy/output_files/iqtree/inference/rand.iqtree
dna_M7210_204_1701.phy,TVM+F+R3,dna_M7210_204_1701.phy/output_files/iqtree/inference/rand.iqtree
dna_M7211_201_1519.phy,TVM+F+R3,dna_M7211_201_1519.phy/output_files/iqtree/inference/rand.iqtree
dna_M7292_213_7572.phy,GTR+R6,dna_M7292_213_7572.phy/output_files/iqtree/inference/rand.iqtree
dna_M7929_428_15016.phy,GTR+F+R8,dna_M7929_428_15016.phy/output_files/iqtree/inference/rand.iqtree
dna_M7964_640_25260.phy,GTR+F+R10,dna_M7964_640_25260.phy/output_files/iqtree/inference/rand.iqtree
dna_M8012_213_2333.phy,GTR+F+R5,dna_M8012_213_2333.phy/output_files/iqtree/inference/rand.iqtree
dna_M8385_212_19972.phy,GTR+F+R8,dna_M8385_212_19972.phy/output_files/iqtree/inference/rand.iqtree
dna_M8619_246_11829.phy,GTR+F+I+R5,dna_M8619_246_11829.phy/output_files/iqtree/inference/rand.iqtree
dna_M8692_395_3583.phy,TIM+F+I+R5,dna_M8692_395_3583.phy/output_files/iqtree/inference/rand.iqtree
dna_M8703_215_1038.phy,TN+F+I+R4,dna_M8703_215_1038.phy/output_files/iqtree/inference/rand.iqtree
dna_M8975_405_3027.phy,GTR+F+I+R6,dna_M8975_405_3027.phy/output_files/iqtree/inference/rand.iqtree
dna_M8982_297_6954.phy,GTR+F+I+R6,dna_M8982_297_6954.phy/output_files/iqtree/inference/rand.iqtree
dna_M8984_201_3931.phy,K3Pu+F+I+R3,dna_M8984_201_3931.phy/output_files/iqtree/inference/rand.iqtree
dna_M9033_300_1394.phy,GTR+F+I+R4,dna_M9033_300_1394.phy/output_files/iqtree/inference/rand.iqtree
dna_M9142_235_1854.phy,TVM+F+R4,dna_M9142_235_1854.phy/output_files/iqtree/inference/rand.iqtree
dna_M9143_228_1223.phy,GTR+F+I+R3,dna_M9143_228_1223.phy/output_files/iqtree/inference/rand.iqtree
dna_M980_249_1604.phy,GTR+F+I+R4,dna_M980_249_1604.phy/output_files/iqtree/inference/rand.iqtree
dna_M9915_504_2757.phy,GTR+F+R10,dna_M9915_504_2757.phy/output_files/iqtree/inference/rand.iqtree
prot_M10236_59_164.phy,JTT+F+I+G4,prot_M10236_59_164.phy/output_files/iqtree/inference/rand.iqtree
prot_M10273_169_11009.phy,Q.BIRD+F+I+R7,prot_M10273_169_11009.phy/output_files/iqtree/inference/rand.iqtree
prot_M10372_169_22426.phy,LG+F+I+R8,prot_M10372_169_22426.phy/output_files/iqtree/inference/rand.iqtree
prot_M10866_88_3329.phy,Q.INSECT+I+R6,prot_M10866_88_3329.phy/output_files/iqtree/inference/rand.iqtree
prot_M11012_55_11500.phy,LG+R7,prot_M11012_55_11500.phy/output_files/iqtree/inference/rand.iqtree
prot_M11013_55_8741.phy,LG+F+R4,prot_M11013_55_8741.phy/output_files/iqtree/inference/rand.iqtree
prot_M1118_137_348.phy,Q.INSECT+R5,prot_M1118_137_348.phy/output_files/iqtree/inference/rand.iqtree
prot_M11335_99_696.phy,LG+F+R6,prot_M11335_99_696.phy/output_files/iqtree/inference/rand.iqtree
prot_M11336_95_268.phy,LG+F+R5,prot_M11336_95_268.phy/output_files/iqtree/inference/rand.iqtree
prot_M11338_100_567.phy,LG+F+R7,prot_M11338_100_567.phy/output_files/iqtree/inference/rand.iqtree
prot_M11341_100_699.phy,LG+F+R7,prot_M11341_100_699.phy/output_files/iqtree/inference/rand.iqtree
prot_M11342_91_323.phy,LG+F+I+R5,prot_M11342_91_323.phy/output_files/iqtree/inference/rand.iqtree
prot_M11344_84_691.phy,LG+F+R5,prot_M11344_84_691.phy/output_files/iqtree/inference/rand.iqtree
prot_M11595_66_463.phy,Q.PFAM+R5,prot_M11595_66_463.phy/output_files/iqtree/inference/rand.iqtree
prot_M11596_62_439.phy,LG+F+I+R5,prot_M11596_62_439.phy/output_files/iqtree/inference/rand.iqtree
prot_M11740_138_4427.phy,LG+R8,prot_M11740_138_4427.phy/output_files/iqtree/inference/rand.iqtree
prot_M12103_97_199.phy,Q.PFAM+R6,prot_M12103_97_199.phy/output_files/iqtree/inference/rand.iqtree
prot_M12104_93_349.phy,LG+F+I+G4,prot_M12104_93_349.phy/output_files/iqtree/inference/rand.iqtree
prot_M12376_116_327.phy,VT+I+G4,prot_M12376_116_327.phy/output_files/iqtree/inference/rand.iqtree
prot_M13804_78_1889.phy,Q.INSECT+R7,prot_M13804_78_1889.phy/output_files/iqtree/prot_M13804_78_1889.phy/output_files/iqtree/inference/rand.iqtree
prot_M1726_50_1000.phy,Q.PFAM+F+R6,prot_M1726_50_1000.phy/output_files/iqtree/inference/rand.iqtree
prot_M2358_55_714.phy,LG+I+R4,prot_M2358_55_714.phy/output_files/iqtree/inference/rand.iqtree
prot_M2593_56_386.phy,Q.INSECT+R4,prot_M2593_56_386.phy/output_files/iqtree/inference/rand.iqtree
prot_M2926_105_899.phy,Q.PFAM+R7,prot_M2926_105_899.phy/output_files/iqtree/inference/rand.iqtree
prot_M3113_77_9918.phy,LG+I+R6,prot_M3113_77_9918.phy/output_files/iqtree/inference/rand.iqtree
prot_M3114_77_11234.phy,LG+R6,prot_M3114_77_11234.phy/output_files/iqtree/inference/rand.iqtree
prot_M3807_82_591.phy,WAG+R5,prot_M3807_82_591.phy/output_files/iqtree/inference/rand.iqtree
prot_M3810_55_271.phy,Q.PFAM+G4,prot_M3810_55_271.phy/output_files/iqtree/inference/rand.iqtree
prot_M4249_153_455.phy,Q.PFAM+I+R7,prot_M4249_153_455.phy/output_files/iqtree/inference/rand.iqtree
prot_M4318_78_2295.phy,MTZOA+F+R8,prot_M4318_78_2295.phy/output_files/iqtree/inference/rand.iqtree
prot_M4325_73_230.phy,LG+I+R5,prot_M4325_73_230.phy/output_files/iqtree/inference/rand.iqtree
prot_M4539_59_12428.phy,Q.INSECT+I+R6,prot_M4539_59_12428.phy/output_files/iqtree/inference/rand.iqtree
prot_M4780_90_583.phy,LG+R6,prot_M4780_90_583.phy/output_files/iqtree/inference/rand.iqtree
prot_M4860_62_11544.phy,Q.INSECT+I+R6,prot_M4860_62_11544.phy/output_files/iqtree/inference/rand.iqtree
prot_M4884_50_11827.phy,Q.INSECT+R5,prot_M4884_50_11827.phy/output_files/iqtree/inference/rand.iqtree
prot_M510_57_430.phy,Q.INSECT+I+R3,prot_M510_57_430.phy/output_files/iqtree/inference/rand.iqtree
prot_M5379_60_7776.phy,Q.INSECT+R6,prot_M5379_60_7776.phy/output_files/iqtree/inference/rand.iqtree
prot_M6416_57_126.phy,WAG+G4,prot_M6416_57_126.phy/output_files/iqtree/inference/rand.iqtree
prot_M7078_77_12457.phy,Q.INSECT+I+R6,prot_M7078_77_12457.phy/output_files/iqtree/inference/rand.iqtree
prot_M7729_62_2973.phy,Q.INSECT+I+R6,prot_M7729_62_2973.phy/output_files/iqtree/inference/rand.iqtree
prot_M8175_194_665.phy,JTTDCMUT+R5,prot_M8175_194_665.phy/output_files/iqtree/inference/rand.iqtree
prot_M8461_89_5699.phy,Q.YEAST+F+R7,prot_M8461_89_5699.phy/output_files/iqtree/inference/rand.iqtree
prot_M8569_164_383_edited.phy,Q.PFAM+F+R6,prot_M8569_164_383_edited.phy/output_files/iqtree/inference/rand.iqtree
prot_M8630_50_21154.phy,Q.YEAST+I+R6,prot_M8630_50_21154.phy/output_files/iqtree/inference/rand.iqtree
prot_M9973_60_327.phy,LG+I+G4,prot_M9973_60_327.phy/output_files/iqtree/inference/rand.iqtree
